,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,cape town,-33.93,18.42,71.01,56,20,27.51,ZA,1582821248
1,tuktoyaktuk,69.45,-133.04,-34.6,73,40,9.17,CA,1582821481
2,albany,42.6,-73.97,37.0,64,90,13.87,US,1582821474
3,colesberg,-30.72,25.1,66.72,61,78,20.33,ZA,1582821681
4,yemelyanovo,56.17,92.68,10.4,72,100,6.71,RU,1582821681
5,mataura,-46.19,168.86,50.0,89,50,0.51,NZ,1582821475
6,atyrau,47.12,51.88,44.6,52,40,15.66,KZ,1582821681
7,college,64.86,-147.8,-27.4,73,1,3.58,US,1582821488
8,ushuaia,-54.8,-68.3,50.0,76,40,36.91,AR,1582821476
9,high level,58.52,-117.14,1.4,91,20,3.36,CA,1582821684
10,salto,-31.38,-57.97,82.0,47,20,4.7,UY,1582821574
11,te anau,-45.42,167.72,51.78,80,10,4.18,NZ,1582821478
12,kununurra,-15.77,128.73,77.0,94,90,20.8,AU,1582821365
13,tiksi,71.69,128.87,-0.2,84,34,13.69,RU,1582821481
14,xinzhou,38.41,112.73,31.98,91,100,0.78,CN,1582821684
15,sabang,5.89,95.32,81.84,78,5,14.81,ID,1582821503
16,busselton,-33.65,115.33,75.0,46,0,8.68,AU,1582821474
17,bethel,41.37,-73.41,44.6,60,90,23.04,US,1582821479
18,svetlyy,54.67,20.13,35.6,59,75,15.66,RU,1582821685
19,vaini,-21.2,-175.2,75.2,100,20,2.24,TO,1582821473
20,tasiilaq,65.61,-37.64,14.0,61,40,3.36,GL,1582821487
21,chokurdakh,70.63,147.92,6.82,92,100,14.16,RU,1582821481
22,lagos,6.58,3.75,95.0,56,20,8.05,NG,1582821592
23,bambous virieux,-20.34,57.76,78.01,100,75,3.36,MU,1582821490
24,bathsheba,13.22,-59.52,84.2,62,75,14.99,BB,1582821685
25,faanui,-16.48,-151.75,82.54,67,100,4.03,PF,1582821472
26,kokkola,63.84,23.13,28.0,53,0,4.7,FI,1582821685
27,severodvinsk,64.56,39.83,23.0,79,20,4.47,RU,1582821685
28,bluff,-46.6,168.33,50.0,89,42,4.05,NZ,1582821477
29,hermanus,-34.42,19.23,69.01,73,30,13.0,ZA,1582821481
30,souillac,-20.52,57.52,78.01,100,75,3.36,MU,1582821479
31,bunia,1.57,30.25,77.23,65,54,1.95,CD,1582821477
32,lumberton,34.62,-79.01,52.0,36,1,19.46,US,1582821669
33,athens,37.98,23.72,59.0,30,20,13.87,GR,1582821506
34,broken hill,-31.95,141.43,60.8,44,0,11.41,AU,1582821506
